title,url
レキシルとくしま,http://awakouko.info/modules/xpwiki/
とくしま埋文ニュース,http://awakouko.info/modules/bulletin/
イベントカレンダー,http://awakouko.info/modules/piCal/
写真集,http://awakouko.info/modules/webphoto/
教育文化課,http://awakouko.info/modules/d3pipes/
お問い合わせ,http://awakouko.info/modules/contact/
国指定重要文化財「矢野銅鐸」特別展示　好評開催中！,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=306
2018古代体験まつり、大盛況！,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=305
2018古代体験まつり、開催します！,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=304
台風24号接近に伴う臨時休館のお知らせ,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=303
国指定重要文化財「矢野銅鐸」特別公開！,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=302
台風21号接近に伴う臨時休館のお知らせ,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=301
長国の埋蔵文化財　伍　ー長国の舟ー　展示8/26スタート,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=300
臨時休館のお知らせ,http://awakouko.info/modules/bulletin/index.php?page=article&storyid=299
"
      
      いにしえ夢街道実施...",http://awakouko.info/modules/webphoto/index.php/photo/173/
"
      
      上空から見た稲持遺...",http://awakouko.info/modules/webphoto/index.php/photo/36/
"
      
      郡里廃寺遺跡に残る...",http://awakouko.info/modules/webphoto/index.php/photo/76/
レキシルとくしま,http://awakouko.info/modules/xpwiki/
"<img src=""http://awakouko.info/modules/xpwiki/skin/loader.php?src=anchor.png"" alt=""anchor.png"" height=""12"" width=""12""> 
",http://awakouko.info/modules/xpwiki/?%A5%C8%A5%C3%A5%D7%C6%C1%C5%E7%B8%A9%CE%A9%CB%E4%C2%A2%CA%B8%B2%BD%BA%E2%C1%ED%B9%E7%A5%BB%A5%F3%A5%BF%A1%BC#w4eda15f
"<img src=""http://awakouko.info/uploads/webphoto/photos/k00126k49802c2c88b90.jpg"" alt=""http://awakouko.info/uploads/webphoto/photos/k00126k49802c2c88b90.jpg"">
",http://awakouko.info/uploads/webphoto/photos/k00126k49802c2c88b90.jpg
レキシルとくしま,http://awakouko.info/modules/xpwiki/
レキシルとくしま,http://awakouko.info/modules/xpwiki/
板野町,http://awakouko.info/modules/xpwiki/?%C8%C4%CC%EE%C4%AE
webmaster@awakouko.info,mailto:webmaster@awakouko.info
レキシルとくしま（徳島県立埋蔵文化財総合センター）,http://awakouko.info/#pukiwikigooglemaps2_332_map1
板野町,http://awakouko.info/modules/xpwiki/?%C8%C4%CC%EE%C4%AE
